is_2_11_7uM,,is_2_11_15uM1,,is_2_11_31uM,,is_2_11_62uM,,is_2_11_125uM,,is_2_11_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
754.4554443,-0.004723364487,754.4554443,-0.004117207136,754.4554443,-0.003295124974,754.4554443,-0.0006337435916,754.4554443,0.002205639845,754.4554443,0.01228915434,
754.0317993,-0.005199016072,754.0317993,-0.004185101017,754.0317993,-0.003400904825,754.0317993,-0.001012151712,754.0317993,0.002170283115,754.0317993,0.01226327196,
753.4669189,-0.005176302511,753.4669189,-0.004165513441,753.4669189,-0.003604069585,753.4669189,-0.0009989287937,753.4669189,0.001828883891,753.4669189,0.01230691653,
753.0430908,-0.004833353683,753.0430908,-0.004336798564,753.0430908,-0.003254326992,753.0430908,-0.001562819816,753.0430908,0.00224867533,753.0430908,0.01182994246,
752.4779663,-0.005341819953,752.4779663,-0.004415778909,752.4779663,-0.003823099425,752.4779663,-0.001076298067,752.4779663,0.001921176678,752.4779663,0.01168959215,
752.0540161,-0.005198453553,752.0540161,-0.004514113069,752.0540161,-0.003995083738,752.0540161,-0.001645194832,752.0540161,0.002043085173,752.0540161,0.01139465254,
751.4887085,-0.005251140799,751.4887085,-0.004631839227,751.4887085,-0.003709928133,751.4887085,-0.001030900865,751.4887085,0.001381373033,751.4887085,0.01127306651,
751.0646362,-0.004967218265,751.0646362,-0.004611247219,751.0646362,-0.003936959431,751.0646362,-0.001755502308,751.0646362,0.001525651664,751.0646362,0.01162239909,
750.4990845,-0.005243621767,750.4990845,-0.004754756112,750.4990845,-0.004202585667,750.4990845,-0.001659842208,750.4990845,0.001710803714,750.4990845,0.01145955175,
749.9334106,-0.005514226388,749.9334106,-0.00477139838,749.9334106,-0.004279130138,749.9334106,-0.001766072586,749.9334106,0.001233871444,749.9334106,0.01122471783,
749.5090942,-0.005697652698,749.5090942,-0.004789064173,749.5090942,-0.004214275628,749.5090942,-0.001946449978,749.5090942,0.001240101759,749.5090942,0.01094288845,
748.9432373,-0.005484883208,748.9432373,-0.005103497766,748.9432373,-0.004472558387,748.9432373,-0.002059257356,748.9432373,0.001252432936,748.9432373,0.01116309408,
748.5187378,-0.005663825199,748.5187378,-0.005190933589,748.5187378,-0.004403325729,748.5187378,-0.002300491324,748.5187378,0.001070356579,748.5187378,0.01047780365,
747.9526978,-0.005806680769,747.9526978,-0.005057291128,747.9526978,-0.004631634336,747.9526978,-0.002257487969,747.9526978,0.001125737093,747.9526978,0.01040003262,
747.5280762,-0.005897856317,747.5280762,-0.005205103662,747.5280762,-0.004667693283,747.5280762,-0.002779728733,747.5280762,0.0008415133343,747.5280762,0.01050278451,
746.961792,-0.005744046532,746.961792,-0.005377360154,746.961792,-0.004692943301,746.961792,-0.00273389183,746.961792,0.0007268905756,746.961792,0.01070995163,
746.5369873,-0.006048191339,746.5369873,-0.005391370971,746.5369873,-0.004866734147,746.5369873,-0.002516988199,746.5369873,0.0009007815388,746.5369873,0.01044306625,
745.97052,-0.005839475431,745.97052,-0.0056119035,745.97052,-0.005236153957,745.97052,-0.002727306448,745.97052,0.0008073567296,745.97052,0.01020077802,
745.5455933,-0.006234964821,745.5455933,-0.005614969879,745.5455933,-0.004716706928,745.5455933,-0.003060406307,745.5455933,0.0006825277815,745.5455933,0.01003027614,
744.9789429,-0.006143553182,744.9789429,-0.006119714584,744.9789429,-0.004982675426,744.9789429,-0.002710997127,744.9789429,0.0004962067469,744.9789429,0.01003663428,
744.553833,-0.006204853766,744.553833,-0.005819859914,744.553833,-0.005449914373,744.553833,-0.003232898656,744.553833,0.00050364458,744.553833,0.009856239893,
743.9869995,-0.007321801037,743.9869995,-0.006907734554,743.9869995,-0.006077394355,743.9869995,-0.003823612584,743.9869995,-0.0004536992637,743.9869995,0.009060050361,
743.5617676,-0.007206992246,743.5617676,-0.006895403378,743.5617676,-0.006085920148,743.5617676,-0.004154334776,743.5617676,-0.0002705793886,743.5617676,0.008871342987,
742.9946899,-0.006981918588,742.9946899,-0.006126401946,742.9946899,-0.005383751821,742.9946899,-0.003558216849,742.9946899,0.0002868853917,742.9946899,0.009454536252,
742.5693359,-0.006686941721,742.5693359,-0.006231137086,742.5693359,-0.005741185509,742.5693359,-0.003407942131,742.5693359,0.0006247928832,742.5693359,0.009413320571,
742.0020142,-0.006933058612,742.0020142,-0.006433951668,742.0020142,-0.005889378022,742.0020142,-0.003318554023,742.0020142,-0.0002186296188,742.0020142,0.008977828547,
741.4346313,-0.007295227144,741.4346313,-0.007394642103,741.4346313,-0.00676483335,741.4346313,-0.004523284733,741.4346313,-0.0007935595931,741.4346313,0.008376141079,
741.0090332,-0.007835041732,741.0090332,-0.007050334476,741.0090332,-0.00667812163,741.0090332,-0.004660574254,741.0090332,-0.0009682974778,741.0090332,0.007868297398,
740.4414673,-0.007919692434,740.4414673,-0.007575546391,740.4414673,-0.006813304964,740.4414673,-0.004701138008,740.4414673,-0.001341666095,740.4414673,0.007780635264,
740.015686,-0.008079492487,740.015686,-0.007757748477,740.015686,-0.00689912308,740.015686,-0.004739495926,740.015686,-0.00128318544,740.015686,0.008095203899,
739.447876,-0.008313394152,739.447876,-0.007507111877,739.447876,-0.007069486659,739.447876,-0.004942188971,739.447876,-0.001678975881,739.447876,0.007972507738,
739.0219727,-0.007707093842,739.0219727,-0.007711518556,739.0219727,-0.006107718218,739.0219727,-0.004382774234,739.0219727,-0.000896798796,739.0219727,0.008161352947,
738.4539795,-0.00779944798,738.4539795,-0.007450473495,738.4539795,-0.006667772308,738.4539795,-0.004616215825,738.4539795,-0.0008522612043,738.4539795,0.008140357211,
738.0279541,-0.007877547294,738.0279541,-0.007604087237,738.0279541,-0.006788942497,738.0279541,-0.00483934395,738.0279541,-0.0009826577734,738.0279541,0.007842887193,
737.4597778,-0.008582296781,737.4597778,-0.008023437113,737.4597778,-0.007593098562,737.4597778,-0.005763460882,737.4597778,-0.001609399449,737.4597778,0.00711783953,
737.0335693,-0.008761844598,737.0335693,-0.008109931834,737.0335693,-0.007296092808,737.0335693,-0.005579295568,737.0335693,-0.001638025627,737.0335693,0.007006757427,
736.4651489,-0.008122583851,736.4651489,-0.00756771164,736.4651489,-0.006972799078,736.4651489,-0.004795106128,736.4651489,-0.001383573166,736.4651489,0.007665694691,
736.0388184,-0.008298766799,736.0388184,-0.007608259097,736.0388184,-0.006796434522,736.0388184,-0.004622055218,736.0388184,-0.001250147936,736.0388184,0.007673783228,
735.4702148,-0.008550724015,735.4702148,-0.008151343092,735.4702148,-0.007219925523,735.4702148,-0.005373218097,735.4702148,-0.00167608785,735.4702148,0.0072352672,
735.0437012,-0.008650816046,735.0437012,-0.007940992713,735.0437012,-0.007358808536,735.0437012,-0.005392239895,735.0437012,-0.001736836042,735.0437012,0.007226581685,
734.4749146,-0.008589605801,734.4749146,-0.007869768888,734.4749146,-0.007293343544,734.4749146,-0.005253135692,734.4749146,-0.001525521628,734.4749146,0.007185997441,
