is_2_8_7uM,,is_2_8_15uM,,is_2_8_31uM,,is_2_8_62uM,,is_2_8_125uM1,,is_2_8_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
751.0646362,-0.006525353063,751.0646362,-0.005826603156,751.0646362,-0.006140133366,751.0646362,-0.005583997816,751.0646362,-0.004623284563,751.0646362,-0.004365450703,
750.4990845,-0.006277320907,750.4990845,-0.006020569243,750.4990845,-0.006185254548,750.4990845,-0.006048191339,750.4990845,-0.005044139922,750.4990845,-0.004136386793,
749.9334106,-0.006275381893,749.9334106,-0.006260940339,749.9334106,-0.005867313594,749.9334106,-0.006214295514,749.9334106,-0.00518709654,749.9334106,-0.004458056763,
749.5090942,-0.006868038792,749.5090942,-0.006316611543,749.5090942,-0.006396865472,749.5090942,-0.006075403187,749.5090942,-0.00543002598,749.5090942,-0.004071254749,
748.9432373,-0.00715123117,748.9432373,-0.006663183682,748.9432373,-0.006740264129,748.9432373,-0.006239353679,748.9432373,-0.005374598783,748.9432373,-0.00469770655,
748.5187378,-0.006635294762,748.5187378,-0.006779410876,748.5187378,-0.006632592529,748.5187378,-0.006738429423,748.5187378,-0.00556932902,748.5187378,-0.004621645436,
747.9526978,-0.00689856289,747.9526978,-0.006783029996,747.9526978,-0.006565335207,747.9526978,-0.006243078969,747.9526978,-0.005396228284,747.9526978,-0.004819990601,
747.5280762,-0.006918333005,747.5280762,-0.006708556786,747.5280762,-0.006600928027,747.5280762,-0.006425024476,747.5280762,-0.005511465948,747.5280762,-0.005071823951,
746.961792,-0.006937134545,746.961792,-0.006750357337,746.961792,-0.006890307646,746.961792,-0.006707333494,746.961792,-0.005385899451,746.961792,-0.005146731623,
746.5369873,-0.007076566573,746.5369873,-0.006820898503,746.5369873,-0.006773702335,746.5369873,-0.006576706655,746.5369873,-0.005493011791,746.5369873,-0.005144736264,
745.97052,-0.00730510382,745.97052,-0.006847501732,745.97052,-0.006869108882,745.97052,-0.007048449479,745.97052,-0.005618036259,745.97052,-0.005084258504,
745.5455933,-0.007812974043,745.5455933,-0.007148634177,745.5455933,-0.006896116771,745.5455933,-0.00714837946,745.5455933,-0.005775058176,745.5455933,-0.005435189698,
744.9789429,-0.007504974958,744.9789429,-0.007068009581,744.9789429,-0.006886434741,744.9789429,-0.007164013572,744.9789429,-0.006143451203,744.9789429,-0.005604134873,
744.553833,-0.007726878393,744.553833,-0.007340839598,744.553833,-0.007434493396,744.553833,-0.006824211217,744.553833,-0.006026798394,744.553833,-0.005407682154,
743.9869995,-0.008412119932,743.9869995,-0.008265344426,743.9869995,-0.008087623864,743.9869995,-0.007815312594,743.9869995,-0.007053696085,743.9869995,-0.006352072116,
743.5617676,-0.008405620232,743.5617676,-0.008269712329,743.5617676,-0.00783799123,743.5617676,-0.008084167726,743.5617676,-0.006755454466,743.5617676,-0.006590882782,
742.9946899,-0.007899713702,742.9946899,-0.007686850615,742.9946899,-0.007336258423,742.9946899,-0.007381306961,742.9946899,-0.006206945982,742.9946899,-0.006127627101,
742.5693359,-0.008076596074,742.5693359,-0.007733032107,742.5693359,-0.0075718835,742.5693359,-0.007409453392,742.5693359,-0.006414363161,742.5693359,-0.005705879536,
742.0020142,-0.008195544593,742.0020142,-0.008013018407,742.0020142,-0.007470727898,742.0020142,-0.007416425738,742.0020142,-0.006707027555,742.0020142,-0.005781648681,
741.4346313,-0.009017640725,741.4346313,-0.00828876067,741.4346313,-0.008290944621,741.4346313,-0.008083558641,741.4346313,-0.007439328358,741.4346313,-0.006862025708,
741.0090332,-0.008729421534,741.0090332,-0.008720897138,741.0090332,-0.008434156887,741.0090332,-0.008585748263,741.0090332,-0.00749210082,741.0090332,-0.007111303043,
