mbg_3_138_250uM,,mbg_3_138_7uM,,mbg_3_138_15uM,,mbg_3_138_31uM,,mbg_3_138_62uM,,mbg_3_138_125uM,,mbg_3_138_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
763.4771729,-0.002238585846,763.4771729,-0.003294816706,763.4771729,-0.002898336854,763.4771729,-0.003238499863,763.4771729,-0.002760334639,763.4771729,-0.002937728539,763.4771729,-0.002238585846,
763.0549316,-0.002183058998,763.0549316,-0.002691137139,763.0549316,-0.002563980408,763.0549316,-0.002943950705,763.0549316,-0.003096596338,763.0549316,-0.003007658059,763.0549316,-0.002183058998,
762.4918823,-0.001984845847,762.4918823,-0.003210287308,762.4918823,-0.002623884007,762.4918823,-0.002909393748,762.4918823,-0.002665050095,762.4918823,-0.002896794118,762.4918823,-0.001984845847,
762.069519,-0.001688465127,762.069519,-0.003190861316,762.069519,-0.002678582678,762.069519,-0.002941431012,762.069519,-0.003089039819,762.069519,-0.002995215589,762.069519,-0.001688465127,
761.5062256,-0.001842583646,761.5062256,-0.002900445368,761.5062256,-0.002857552841,761.5062256,-0.002801796654,761.5062256,-0.002605203539,761.5062256,-0.003067706246,761.5062256,-0.001842583646,
760.9428711,-0.001951088547,760.9428711,-0.002875348087,760.9428711,-0.002820468508,760.9428711,-0.003178783692,760.9428711,-0.002766765188,760.9428711,-0.002957988763,760.9428711,-0.001951088547,
760.5202026,-0.001923204632,760.5202026,-0.003018455114,760.5202026,-0.002671430586,760.5202026,-0.003030999796,760.5202026,-0.003193225246,760.5202026,-0.003111760365,760.5202026,-0.001923204632,
759.956604,-0.001826756634,759.956604,-0.003213113872,759.956604,-0.003004933242,759.956604,-0.002933871932,759.956604,-0.003379535163,759.956604,-0.002873753896,759.956604,-0.001826756634,
759.5338745,-0.001653085928,759.5338745,-0.003207203932,759.5338745,-0.002666027751,759.5338745,-0.003145478899,759.5338745,-0.002615701873,759.5338745,-0.003187777707,759.5338745,-0.001653085928,
758.9700317,-0.002097282559,758.9700317,-0.003343471559,758.9700317,-0.003187931841,758.9700317,-0.002943847794,758.9700317,-0.003006269922,758.9700317,-0.002961176913,758.9700317,-0.002097282559,
758.5471191,-0.002088884357,758.5471191,-0.003389192745,758.5471191,-0.002795829671,758.5471191,-0.003549744142,758.5471191,-0.00315817399,758.5471191,-0.003445746843,758.5471191,-0.002088884357,
757.9831543,-0.002244405914,757.9831543,-0.003525865497,757.9831543,-0.002900496824,757.9831543,-0.003385031829,757.9831543,-0.003437014995,757.9831543,-0.003409894183,757.9831543,-0.002244405914,
757.5600586,-0.002209587255,757.5600586,-0.003290860448,757.5600586,-0.003249085508,757.5600586,-0.003155655693,757.5600586,-0.003378559137,757.5600586,-0.002881108318,757.5600586,-0.002209587255,
756.9958496,-0.002196400659,756.9958496,-0.003288548207,756.9958496,-0.003265426029,756.9958496,-0.003615570487,756.9958496,-0.003257255768,756.9958496,-0.003261161037,756.9958496,-0.002196400659,
756.4315186,-0.002177701797,756.4315186,-0.003594313981,756.4315186,-0.003151903627,756.4315186,-0.003350047395,756.4315186,-0.003332579974,756.4315186,-0.003250267357,756.4315186,-0.002177701797,
756.0081787,-0.002765273442,756.0081787,-0.003251243848,756.0081787,-0.003263627645,756.0081787,-0.003621834097,756.0081787,-0.003556316951,756.0081787,-0.003564173356,756.0081787,-0.002765273442,
755.4436646,-0.002629647497,755.4436646,-0.003538344055,755.4436646,-0.003174106823,755.4436646,-0.003746577306,755.4436646,-0.003681951435,755.4436646,-0.003630510997,755.4436646,-0.002629647497,
755.0202026,-0.002478587907,755.0202026,-0.003834132804,755.0202026,-0.00351749477,755.0202026,-0.003803957254,755.0202026,-0.003750272794,755.0202026,-0.003458484542,755.0202026,-0.002478587907,
754.4554443,-0.002333191689,754.4554443,-0.00391720701,754.4554443,-0.003469167743,754.4554443,-0.003889089683,754.4554443,-0.00372091285,754.4554443,-0.003573518712,754.4554443,-0.002333191689,
754.0317993,-0.002789553953,754.0317993,-0.003947784659,754.0317993,-0.003659876995,754.0317993,-0.003395973472,754.0317993,-0.003885857062,754.0317993,-0.003752223216,754.0317993,-0.002789553953,
753.4669189,-0.002662734594,753.4669189,-0.004089923576,753.4669189,-0.003875492141,753.4669189,-0.003996212501,753.4669189,-0.003985285759,753.4669189,-0.003915821668,753.4669189,-0.002662734594,
753.0430908,-0.003219794482,753.0430908,-0.004157616291,753.0430908,-0.003910690546,753.0430908,-0.004050892312,753.0430908,-0.004032632336,753.0430908,-0.004214993678,753.0430908,-0.003219794482,
752.4779663,-0.003487605602,752.4779663,-0.004290664103,752.4779663,-0.00384470378,752.4779663,-0.004254983738,752.4779663,-0.003951273393,752.4779663,-0.00385984173,752.4779663,-0.003487605602,
752.0540161,-0.003334943205,752.0540161,-0.004178230185,752.0540161,-0.003812887007,752.0540161,-0.004372779746,752.0540161,-0.004368166905,752.0540161,-0.004240884911,752.0540161,-0.003334943205,
751.4887085,-0.003051821142,751.4887085,-0.00474062236,751.4887085,-0.004217300564,751.4887085,-0.004444579594,751.4887085,-0.004428437445,751.4887085,-0.004184229299,751.4887085,-0.003051821142,
751.0646362,-0.003395922016,751.0646362,-0.004621696658,751.0646362,-0.003975898027,751.0646362,-0.004734170157,751.0646362,-0.004456006922,751.0646362,-0.004523848183,751.0646362,-0.003395922016,
750.4990845,-0.00360278599,750.4990845,-0.004823676776,750.4990845,-0.004363502841,750.4990845,-0.004841187038,750.4990845,-0.004755524453,750.4990845,-0.00443028193,750.4990845,-0.00360278599,
749.9334106,-0.004167820793,749.9334106,-0.005337933078,749.9334106,-0.004235604312,749.9334106,-0.005076071247,749.9334106,-0.004894634709,749.9334106,-0.004457749426,749.9334106,-0.004167820793,
749.5090942,-0.003905765247,749.5090942,-0.005077810958,749.5090942,-0.004783534445,749.5090942,-0.005030527245,749.5090942,-0.005092292093,749.5090942,-0.004701394122,749.5090942,-0.003905765247,
748.9432373,-0.003847012995,748.9432373,-0.005240961909,748.9432373,-0.004932105076,748.9432373,-0.005375877023,748.9432373,-0.005374138709,748.9432373,-0.005058110226,748.9432373,-0.003847012995,
748.5187378,-0.004927395843,748.5187378,-0.006066366564,748.5187378,-0.005760038272,748.5187378,-0.005809030496,748.5187378,-0.005878754426,748.5187378,-0.005918336567,748.5187378,-0.004927395843,
747.9526978,-0.005056421272,747.9526978,-0.006249254104,747.9526978,-0.0058300253,747.9526978,-0.00620010728,747.9526978,-0.006435227115,747.9526978,-0.006049927324,747.9526978,-0.005056421272,
747.5280762,-0.004876768216,747.5280762,-0.006296405103,747.5280762,-0.006110985298,747.5280762,-0.006158202887,747.5280762,-0.006420688704,747.5280762,-0.006354623009,747.5280762,-0.004876768216,
746.961792,-0.005689426325,746.961792,-0.006427116226,746.961792,-0.006449356675,746.961792,-0.006189184729,746.961792,-0.006779818796,746.961792,-0.006393447518,746.961792,-0.005689426325,
746.5369873,-0.005663109943,746.5369873,-0.006986503955,746.5369873,-0.006444918923,746.5369873,-0.006774823647,746.5369873,-0.006809227634,746.5369873,-0.006508063525,746.5369873,-0.005663109943,
745.97052,-0.005637404975,745.97052,-0.006990987342,745.97052,-0.006685769185,745.97052,-0.006853719242,745.97052,-0.007043865044,745.97052,-0.006718599703,745.97052,-0.005637404975,
745.5455933,-0.005887283944,745.5455933,-0.007310194429,745.5455933,-0.007033167873,745.5455933,-0.006874459796,745.5455933,-0.00718341535,745.5455933,-0.006729712244,745.5455933,-0.005887283944,
744.9789429,-0.005937641021,744.9789429,-0.007197826169,744.9789429,-0.006992515642,744.9789429,-0.007278375793,744.9789429,-0.006972442847,744.9789429,-0.007139619906,744.9789429,-0.005937641021,
744.553833,-0.006087145302,744.553833,-0.007647073362,744.553833,-0.007276899647,744.553833,-0.007485332899,744.553833,-0.007581397425,744.553833,-0.007187438197,744.553833,-0.006087145302,
743.9869995,-0.006437063217,743.9869995,-0.007674744818,743.9869995,-0.007836007513,743.9869995,-0.007403345779,743.9869995,-0.007763139438,743.9869995,-0.00753667485,743.9869995,-0.006437063217,
743.5617676,-0.006726143882,743.5617676,-0.007801532745,743.5617676,-0.007919743657,743.5617676,-0.007945313118,743.5617676,-0.007774683181,743.5617676,-0.007787141949,743.5617676,-0.006726143882,
742.9946899,-0.006128699053,742.9946899,-0.007650481537,742.9946899,-0.00749739306,742.9946899,-0.007596354466,742.9946899,-0.007498156279,742.9946899,-0.007436682004,742.9946899,-0.006128699053,
742.5693359,-0.007375758607,742.5693359,-0.008326294832,742.5693359,-0.008133254945,742.5693359,-0.008234713227,742.5693359,-0.008093060926,742.5693359,-0.008266462013,742.5693359,-0.007375758607,
742.0020142,-0.007576665841,742.0020142,-0.008811210282,742.0020142,-0.008264937438,742.0020142,-0.008484219201,742.0020142,-0.008769708686,742.0020142,-0.00826448109,742.0020142,-0.007576665841,
741.4346313,-0.007616042625,741.4346313,-0.008606254123,741.4346313,-0.008296430111,741.4346313,-0.009098055772,741.4346313,-0.008970226161,741.4346313,-0.008688725531,741.4346313,-0.007616042625,
741.0090332,-0.008138132282,741.0090332,-0.009387651458,741.0090332,-0.008547830395,741.0090332,-0.009329991415,741.0090332,-0.009345395491,741.0090332,-0.009109159,741.0090332,-0.008138132282,
740.4414673,-0.008051948622,740.4414673,-0.009391451254,740.4414673,-0.009215154685,740.4414673,-0.009179470129,740.4414673,-0.00955121778,740.4414673,-0.008952932432,740.4414673,-0.008051948622,
