is_2_9_7uM,,is_2_9_15uM1,,is_2_9_31uM2,,is_2_9_15uM,,is_2_9_31uM,,is_2_9_62uM,,is_2_9_125uM,,is_2_9_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
772.46875,-0.003075417364,772.46875,-0.002936545759,772.46875,-0.002632117597,772.46875,-0.00128117227,772.46875,-0.0008021896356,772.46875,-0.000744773366,772.46875,-0.00103188213,772.46875,2.451470391E-5,
772.0479736,-0.003279607743,772.0479736,-0.002859507222,772.0479736,-0.002902502427,772.0479736,-0.001020467607,772.0479736,-0.001009155996,772.0479736,-0.0005638960865,772.0479736,-0.001271622605,772.0479736,-7.195703074E-5,
771.4868164,-0.002892113989,771.4868164,-0.002313108416,771.4868164,-0.003063028213,771.4868164,-0.0007798648439,771.4868164,-0.0009068217478,771.4868164,-0.0007661179989,771.4868164,-0.001264911843,771.4868164,5.785899339E-5,
771.0658569,-0.003197233891,771.0658569,-0.002950224094,771.0658569,-0.003415749874,771.0658569,-0.00127735245,771.0658569,-0.0009248004062,771.0658569,-0.0007210501353,771.0658569,-0.001675933134,771.0658569,-0.000518910645,
770.5044556,-0.003381846938,770.5044556,-0.002746033017,770.5044556,-0.003216197249,770.5044556,-0.001394926687,770.5044556,-0.0007139173686,770.5044556,-0.000845233968,770.5044556,-0.0016392119,770.5044556,-0.0003087615769,
769.9429321,-0.002830344252,769.9429321,-0.002764810342,769.9429321,-0.002894119825,769.9429321,-0.0007604330895,769.9429321,-0.0007948515122,769.9429321,-0.0009546599467,769.9429321,-0.001515100244,769.9429321,-0.0004570609308,
769.5217285,-0.003123325761,769.5217285,-0.002908056602,769.5217285,-0.003200985491,769.5217285,-0.001198108657,769.5217285,-0.001190725598,769.5217285,-0.001013546367,769.5217285,-0.00141556852,769.5217285,-0.0008240481839,
768.960022,-0.003447852796,768.960022,-0.003172102384,768.960022,-0.003254326992,768.960022,-0.001721469336,768.960022,-0.001155564096,768.960022,-0.001043193159,768.960022,-0.001959283371,768.960022,-0.0005531413481,
768.5386963,-0.003920028452,768.5386963,-0.002952898154,768.5386963,-0.003115769709,768.5386963,-0.001039061346,768.5386963,-0.0009052717942,768.5386963,-0.001002906007,768.5386963,-0.001530113048,768.5386963,-0.0005954348599,
767.9767456,-0.003702536225,767.9767456,-0.003327390878,767.9767456,-0.00334115955,767.9767456,-0.001501892577,767.9767456,-0.001523922314,767.9767456,-0.001217727433,767.9767456,-0.002007881878,767.9767456,-0.0006652773009,
767.5552368,-0.003451550845,767.5552368,-0.003041693242,767.5552368,-0.003103689989,767.5552368,-0.0016555615,767.5552368,-0.0008726705564,767.5552368,-0.001247979701,767.5552368,-0.002214841079,767.5552368,-0.0009269702132,
766.993103,-0.003689292353,766.993103,-0.003296717769,766.993103,-0.003555906005,766.993103,-0.001246172935,766.993103,-0.001058997121,766.993103,-0.001138059655,766.993103,-0.001762669533,766.993103,-0.000810457801,
