is_2_7_7uM,,is_2_7_15uM,,is_2_7_31uM,,is_2_7_62uM,,is_2_7_125uM,,is_2_7_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
747.5280762,-0.006507910788,747.5280762,-0.005873544607,747.5280762,-0.005369842984,747.5280762,-0.005578989163,747.5280762,-0.005978698377,747.5280762,-0.005485598929,
746.961792,-0.006343857385,746.961792,-0.006183519494,746.961792,-0.005769489799,746.961792,-0.005679512862,746.961792,-0.005983243231,746.961792,-0.005405636504,
746.5369873,-0.006439460907,746.5369873,-0.006192655303,746.5369873,-0.005785275716,746.5369873,-0.006184387021,746.5369873,-0.006135794334,746.5369873,-0.005562275648,
745.97052,-0.006820541807,745.97052,-0.005948008038,745.97052,-0.006139367353,745.97052,-0.005885496736,745.97052,-0.006232004613,745.97052,-0.005688966252,
745.5455933,-0.006564468145,745.5455933,-0.005900461227,745.5455933,-0.006334214471,745.5455933,-0.00594652677,745.5455933,-0.006250274833,745.5455933,-0.005349030253,
744.9789429,-0.006920575164,744.9789429,-0.006620712113,744.9789429,-0.006345184054,744.9789429,-0.00616157148,744.9789429,-0.006364163477,744.9789429,-0.006139469799,
744.553833,-0.00708894385,744.553833,-0.006688623689,744.553833,-0.006577726919,744.553833,-0.006396661513,744.553833,-0.006838481408,744.553833,-0.005944279954,
743.9869995,-0.007787091192,743.9869995,-0.007274506614,743.9869995,-0.007105700672,743.9869995,-0.007218398154,743.9869995,-0.007206228096,743.9869995,-0.006460221484,
743.5617676,-0.007557688281,743.5617676,-0.007476579864,743.5617676,-0.007368225604,743.5617676,-0.007182193454,743.5617676,-0.007323328406,743.5617676,-0.00654055085,
742.9946899,-0.00753815053,742.9946899,-0.006885059178,742.9946899,-0.006989000365,742.9946899,-0.006433900446,742.9946899,-0.006760398857,742.9946899,-0.006507604849,
742.5693359,-0.007388127036,742.5693359,-0.007098824717,742.5693359,-0.006818146445,742.5693359,-0.006767585874,742.5693359,-0.007126887795,742.5693359,-0.006563244388,
742.0020142,-0.00752507383,742.0020142,-0.006908855867,742.0020142,-0.00699485885,742.0020142,-0.007094291504,742.0020142,-0.007183313835,742.0020142,-0.006437777542,
741.4346313,-0.008399475366,741.4346313,-0.008274081163,741.4346313,-0.007757494226,741.4346313,-0.007551176008,741.4346313,-0.007953599095,741.4346313,-0.007047175895,
741.0090332,-0.008449491113,741.0090332,-0.007714926265,741.0090332,-0.007964782417,741.0090332,-0.007546749432,741.0090332,-0.008034872822,741.0090332,-0.007449863013,
740.4414673,-0.008551434614,740.4414673,-0.008155458607,740.4414673,-0.008102411404,740.4414673,-0.008004377596,740.4414673,-0.007887105457,740.4414673,-0.007451847661,
740.015686,-0.008845858276,740.015686,-0.00806805864,740.015686,-0.008325838484,740.015686,-0.008003463037,740.015686,-0.008025775664,740.015686,-0.007683238946,
739.447876,-0.008660610765,739.447876,-0.008399475366,739.447876,-0.008451776579,739.447876,-0.008215611801,739.447876,-0.008534580469,739.447876,-0.007918218151,
739.0219727,-0.00821413938,739.0219727,-0.007747882511,739.0219727,-0.007400037255,739.0219727,-0.007503499277,739.0219727,-0.007763139438,739.0219727,-0.007222776767,
738.4539795,-0.008267934434,738.4539795,-0.008205959573,738.4539795,-0.007867937908,738.4539795,-0.007721334696,738.4539795,-0.008111557923,738.4539795,-0.007228785194,
738.0279541,-0.008482188918,738.0279541,-0.008221200667,738.0279541,-0.007999955676,738.0279541,-0.007609378081,738.0279541,-0.007940026931,738.0279541,-0.007229956333,
737.4597778,-0.008976412937,737.4597778,-0.008744898252,737.4597778,-0.008490870707,737.4597778,-0.00880299136,737.4597778,-0.008680859581,737.4597778,-0.008355751634,
737.0335693,-0.009045579471,737.0335693,-0.009066216648,737.0335693,-0.008677307516,737.0335693,-0.008328225464,737.0335693,-0.008753269911,737.0335693,-0.008195850067,
736.4651489,-0.008741092868,736.4651489,-0.008190515451,736.4651489,-0.008328733034,736.4651489,-0.008010679856,736.4651489,-0.008192953654,736.4651489,-0.007516270969,
736.0388184,-0.008560520597,736.0388184,-0.008243602701,736.0388184,-0.00847452227,736.0388184,-0.007863718085,736.0388184,-0.007941348478,736.0388184,-0.007594065275,
735.4702148,-0.008862192743,735.4702148,-0.008655434474,735.4702148,-0.008707704023,735.4702148,-0.008504679427,735.4702148,-0.008416588418,735.4702148,-0.008156983182,
735.0437012,-0.009150373749,735.0437012,-0.008732111193,735.0437012,-0.008437051438,735.0437012,-0.008354634047,735.0437012,-0.008548388258,735.0437012,-0.008123396896,
734.4749146,-0.009109615348,734.4749146,-0.008567830548,734.4749146,-0.008411967196,734.4749146,-0.008468023501,734.4749146,-0.008561789989,734.4749146,-0.007713044528,
734.0482788,-0.008922502398,734.0482788,-0.008484117687,734.0482788,-0.008427556604,734.0482788,-0.008173139766,734.0482788,-0.008279566653,734.0482788,-0.00824263785,
733.4793091,-0.009039596654,733.4793091,-0.008174765855,733.4793091,-0.008351079188,733.4793091,-0.008203012869,733.4793091,-0.008425169624,733.4793091,-0.007921776734,
733.0524902,-0.00866243802,733.0524902,-0.0085506225,733.0524902,-0.008147786371,733.0524902,-0.008085031994,733.0524902,-0.00833772216,733.0524902,-0.007986334153,
732.4832764,-0.00861006137,732.4832764,-0.008157846518,732.4832764,-0.00826544594,732.4832764,-0.008154239506,732.4832764,-0.008329697885,732.4832764,-0.00788161438,
732.0563354,-0.008905257098,732.0563354,-0.008460306562,732.0563354,-0.00862620119,732.0563354,-0.008006766438,732.0563354,-0.008582754061,732.0563354,-0.007805550005,
