is_2_3_31uM,,is_2_3_15uM,,is_2_3_62uM,,is_2_3_125uM,,is_2_3_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
726.5001221,-0.01265230216,726.5001221,-0.01300174557,726.5001221,-0.01279528998,726.5001221,-0.01324576698,726.5001221,-0.01301068906,
725.9296875,-0.01312492881,725.9296875,-0.01363316737,725.9296875,-0.01352648903,725.9296875,-0.01372647751,725.9296875,-0.01368499175,
725.50177,-0.01342525519,725.50177,-0.01363181323,725.50177,-0.01365253329,725.50177,-0.01383591536,725.50177,-0.01365589444,
724.9310913,-0.01352438144,724.9310913,-0.01409665961,724.9310913,-0.01420094352,724.9310913,-0.01446427312,724.9310913,-0.0142222885,
724.5029907,-0.01384599507,724.5029907,-0.01420369931,724.5029907,-0.01434923336,724.5029907,-0.01433004905,724.5029907,-0.01442476176,
723.9321289,-0.01425240003,723.9321289,-0.01498700306,723.9321289,-0.01450558379,723.9321289,-0.01486184541,723.9321289,-0.01465932559,
723.5039063,-0.01442496199,723.5039063,-0.01486804895,723.5039063,-0.01470662374,723.5039063,-0.01507697254,723.5039063,-0.01489881612,
722.9328613,-0.01465221774,722.9328613,-0.01493808441,722.9328613,-0.01496079378,722.9328613,-0.01507522166,722.9328613,-0.01505912002,
722.5045166,-0.0147064738,722.5045166,-0.01522721257,722.5045166,-0.01503256522,722.5045166,-0.01520551741,722.5045166,-0.01540888194,
721.9332886,-0.01477638539,721.9332886,-0.01523016207,721.9332886,-0.01558323205,721.9332886,-0.01543756202,721.9332886,-0.01547078695,
721.5047607,-0.01497444883,721.5047607,-0.0154304672,721.5047607,-0.01567882113,721.5047607,-0.01570368744,721.5047607,-0.0157002937,
720.9332886,-0.01519646868,720.9332886,-0.01556175482,720.9332886,-0.01579580642,720.9332886,-0.01582620665,720.9332886,-0.01591730118,
720.5046387,-0.01506592054,720.5046387,-0.01591515355,720.5046387,-0.01572356187,720.5046387,-0.01580514014,720.5046387,-0.01590202749,
719.9329834,-0.01528124604,719.9329834,-0.01575965993,719.9329834,-0.01572156325,719.9329834,-0.01580319367,719.9329834,-0.01595872268,
719.5042114,-0.01511667483,719.5042114,-0.01580723748,719.5042114,-0.01573584415,719.5042114,-0.01591430604,719.5042114,-0.01589933224,
718.932373,-0.01517752185,718.932373,-0.01592279039,718.932373,-0.01580024883,718.932373,-0.01613404974,718.932373,-0.01592099294,
718.503418,-0.01523196138,718.503418,-0.01599245705,718.503418,-0.01581113227,718.503418,-0.01597913355,718.503418,-0.01583993435,
717.9313965,-0.01533382386,717.9313965,-0.01580988429,717.9313965,-0.01570009254,717.9313965,-0.01591270976,717.9313965,-0.01593097486,
717.5023193,-0.01537160482,717.5023193,-0.01597693749,717.5023193,-0.01580029912,717.5023193,-0.01593476906,717.5023193,-0.01590597071,
716.9300537,-0.01522701234,716.9300537,-0.01581702195,716.9300537,-0.01573145017,716.9300537,-0.01596196741,716.9300537,-0.01581307873,
716.5008545,-0.01527699828,716.5008545,-0.01530953497,716.5008545,-0.01550785545,716.5008545,-0.01588226296,716.5008545,-0.01594939083,
715.9284058,-0.01507172175,715.9284058,-0.01551589835,715.9284058,-0.01538659539,715.9284058,-0.0154556483,715.9284058,-0.01561739482,
715.4990234,-0.01498150174,715.4990234,-0.01545030251,715.4990234,-0.01527449861,715.4990234,-0.01559442002,715.4990234,-0.01550046168,
715.0695801,-0.01498415228,715.0695801,-0.0151921697,715.0695801,-0.01529844012,715.0695801,-0.01539863832,715.0695801,-0.01543516386,
