mbg_3_146_7uM,,mbg_3_146_15uM,,mbg_3_146_31uM,,mbg_3_146_62uM,,mbg_3_146_125uM,,mbg_3_146_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
744.553833,-0.007561962,744.553833,-0.007215903,744.553833,-0.007420548,744.553833,-0.00672701,744.553833,-0.007432407,744.553833,-0.006609953
743.9869995,-0.00747541,743.9869995,-0.007504212,743.9869995,-0.007679272,743.9869995,-0.006903811,743.9869995,-0.007814703,743.9869995,-0.00665263
743.5617676,-0.007878564,743.5617676,-0.007916694,743.5617676,-0.007724386,743.5617676,-0.007149958,743.5617676,-0.007783786,743.5617676,-0.006864217
742.9946899,-0.007474544,742.9946899,-0.007402379,742.9946899,-0.007282092,742.9946899,-0.006871453,742.9946899,-0.00718423,742.9946899,-0.006696373
742.5693359,-0.008296989,742.5693359,-0.007965291,742.5693359,-0.008011392,742.5693359,-0.007206127,742.5693359,-0.008397495,742.5693359,-0.007402175
742.0020142,-0.008804716,742.0020142,-0.008621633,742.0020142,-0.008429232,742.0020142,-0.007801228,742.0020142,-0.008597068,742.0020142,-0.007477038
741.4346313,-0.008797867,741.4346313,-0.00892372,741.4346313,-0.008596001,741.4346313,-0.008293739,741.4346313,-0.008941166,741.4346313,-0.007711621
741.0090332,-0.009053034,741.0090332,-0.008661017,741.0090332,-0.009121681,741.0090332,-0.008492698,741.0090332,-0.009138816,741.0090332,-0.008363979
740.4414673,-0.009464655,740.4414673,-0.009053845,740.4414673,-0.009191838,740.4414673,-0.008531891,740.4414673,-0.009546912,740.4414673,-0.008400491
740.015686,-0.009774761,740.015686,-0.009666827,740.015686,-0.009644599,740.015686,-0.008613665,740.015686,-0.009792478,740.015686,-0.00846975
739.447876,-0.01003497,739.447876,-0.009801437,739.447876,-0.009790048,739.447876,-0.009238722,739.447876,-0.010108268,739.447876,-0.008802281
739.0219727,-0.010362009,739.0219727,-0.01009886,739.0219727,-0.009770205,739.0219727,-0.009231171,739.0219727,-0.010225852,739.0219727,-0.00920299
738.4539795,-0.010732038,738.4539795,-0.010245775,738.4539795,-0.01048761,738.4539795,-0.009575375,738.4539795,-0.010345326,738.4539795,-0.009783215
738.0279541,-0.01072229,738.0279541,-0.010690265,738.0279541,-0.010497061,738.0279541,-0.0100076,738.0279541,-0.010754311,738.0279541,-0.009776736
